"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2024","27.92","27.20","28.00","27.03","1.04M","2.91%"
"11/28/2024","27.13","27.50","27.60","27.03","467.49K","-0.37%"
"11/27/2024","27.23","27.45","27.80","27.10","1.06M","-0.77%"
"11/26/2024","27.44","27.00","28.00","26.80","630.09K","1.63%"
"11/25/2024","27.00","27.03","27.40","26.80","5.54M","-0.63%"
"11/24/2024","27.17","27.50","27.50","27.02","57.18K","-1.20%"
"11/21/2024","27.50","27.03","27.50","26.60","343.27K","1.81%"
"11/20/2024","27.01","27.46","27.60","27.01","592.19K","-1.64%"
"11/19/2024","27.46","27.70","27.70","27.17","158.82K","-0.87%"
"11/18/2024","27.70","27.61","27.70","27.41","671.83K","0.91%"
"11/17/2024","27.45","27.50","27.63","27.01","467.14K","0.18%"
"11/14/2024","27.40","27.00","27.45","27.00","224.88K","1.48%"
"11/13/2024","27.00","27.01","27.33","26.91","858.70K","0.00%"
"11/12/2024","27.00","27.50","27.80","26.51","724.24K","-1.35%"
"11/11/2024","27.37","27.66","27.95","27.32","452.54K","-1.12%"
"11/10/2024","27.68","28.00","28.25","27.65","1.64M","-1.84%"
"11/07/2024","28.20","27.86","28.20","27.77","1.56M","0.71%"
"11/06/2024","28.00","28.00","28.33","27.81","1.40M","0.07%"
"11/05/2024","27.98","27.03","27.98","27.00","2.36M","3.55%"
"11/04/2024","27.02","27.20","27.35","26.96","1.53M","-0.66%"
"11/03/2024","27.20","27.03","27.39","27.03","400.11K","-0.37%"
"10/31/2024","27.30","27.50","27.55","27.00","1.77M","-0.73%"
"10/30/2024","27.50","27.52","27.78","27.20","1.46M","-1.01%"
"10/29/2024","27.78","27.50","27.78","27.40","2.83M","1.02%"
"10/28/2024","27.50","27.63","27.65","27.31","835.15K","0.00%"
"10/27/2024","27.50","27.80","27.80","27.41","462.77K","-0.72%"
"10/24/2024","27.70","27.50","27.70","27.27","2.86M","0.73%"
"10/23/2024","27.50","27.75","27.86","27.32","3.39M","0.00%"
"10/22/2024","27.50","27.89","27.89","27.33","1.21M","-1.68%"
"10/21/2024","27.97","27.80","27.98","24.00","300.81K","1.56%"
"10/20/2024","27.54","27.01","28.40","27.01","2.79M","2.00%"
"10/17/2024","27.00","26.49","27.12","26.15","831.25K","-6.28%"
"10/16/2024","28.81","28.30","29.97","28.25","4.35M","2.16%"
"10/15/2024","28.20","27.40","28.25","27.20","973.97K","3.87%"
"10/14/2024","27.15","26.55","27.50","26.50","542.30K","2.41%"
"10/13/2024","26.51","27.61","27.89","26.31","343.30K","-3.60%"
"10/10/2024","27.50","27.26","28.00","27.00","1.24M","0.92%"
"10/09/2024","27.25","27.06","27.59","27.03","482.56K","0.93%"
"10/08/2024","27.00","27.60","27.80","26.91","1.82M","-2.17%"
"10/07/2024","27.60","26.80","27.70","26.80","2.62M","3.22%"
"10/03/2024","26.74","25.99","26.74","25.70","2.07M","3.64%"
"10/02/2024","25.80","26.00","26.05","25.53","2.64M","-0.77%"
"10/01/2024","26.00","25.99","26.48","25.60","1.30M","0.00%"
"09/30/2024","26.00","25.89","26.00","25.02","1.90M","1.72%"
"09/29/2024","25.56","26.16","26.16","25.56","494.71K","-1.77%"
"09/26/2024","26.02","25.80","26.02","25.66","706.63K","0.85%"
"09/25/2024","25.80","25.85","25.90","25.29","655.14K","-0.15%"
"09/24/2024","25.84","25.71","26.00","25.52","964.75K","0.51%"
"09/23/2024","25.71","25.99","26.10","25.56","1.45M","-1.12%"
"09/22/2024","26.00","26.00","26.20","25.80","470.62K","0.00%"
"09/19/2024","26.00","25.50","26.00","25.12","9.53M","1.96%"
"09/18/2024","25.50","25.80","25.80","24.91","1.12M","0.00%"
