"Date","Price","Open","High","Low","Vol.","Change %"
"08/24/2025","89.55","90.00","90.45","89.30","709.29K","-0.49%"
"08/21/2025","90.00","90.45","91.09","90.00","1.98M","-0.51%"
"08/20/2025","90.46","91.80","91.92","90.09","2.00M","-1.46%"
"08/19/2025","91.80","90.92","91.83","90.74","5.46M","1.39%"
"08/18/2025","90.55","90.90","92.27","90.55","5.62M","-0.40%"
"08/17/2025","90.91","89.43","90.91","89.27","458.21K","1.73%"
"08/14/2025","89.36","90.75","90.75","89.36","1.32M","-1.55%"
"08/13/2025","90.77","90.45","90.82","89.82","1.71M","0.35%"
"08/12/2025","90.45","90.73","90.73","89.19","1.55M","0.51%"
"08/11/2025","90.00","90.98","91.72","89.83","5.01M","-1.01%"
"08/10/2025","90.92","90.91","92.73","90.50","1.21M","-0.09%"
"08/07/2025","91.00","90.45","91.73","90.30","2.74M","0.60%"
"08/06/2025","90.45","89.00","90.73","89.00","2.34M","1.63%"
"08/05/2025","89.00","86.92","89.00","86.92","6.89M","2.41%"
"08/04/2025","86.91","85.00","87.18","84.95","2.13M","2.25%"
"08/03/2025","85.00","85.45","85.64","84.33","552.05K","-0.64%"
"07/31/2025","85.55","85.45","86.55","85.45","2.03M","-0.21%"
"07/30/2025","85.73","85.17","86.35","85.17","3.19M","0.64%"
"07/29/2025","85.18","86.27","86.64","85.18","5.31M","-1.26%"
"07/28/2025","86.27","86.35","86.36","85.86","5.89M","-0.09%"
"07/27/2025","86.35","83.64","86.35","83.18","2.72M","3.25%"
"07/23/2025","83.64","82.36","83.64","81.36","1.31M","1.55%"
"07/22/2025","82.36","83.16","83.18","82.28","1.95M","-0.98%"
"07/21/2025","83.18","81.82","83.18","81.82","4.06M","1.67%"
"07/20/2025","81.82","81.36","82.58","80.91","1.26M","0.02%"
"07/17/2025","81.80","79.96","81.82","79.59","3.02M","2.27%"
"07/16/2025","79.98","80.80","81.80","79.64","2.04M","-1.15%"
"07/15/2025","80.91","79.07","80.91","78.31","3.33M","2.30%"
"07/14/2025","79.09","76.46","79.14","76.18","4.87M","3.42%"
"07/13/2025","76.47","77.18","77.21","76.37","525.77K","-0.97%"
"07/10/2025","77.22","76.36","77.22","76.00","2.23M","1.12%"
"07/09/2025","76.36","75.95","77.00","75.95","1.96M","0.57%"
"07/07/2025","75.93","75.75","76.36","75.55","1.21M","0.26%"
"07/06/2025","75.73","76.72","76.72","75.73","976.20K","-1.35%"
"07/02/2025","76.76","77.24","77.27","75.91","2.03M","-0.61%"
"07/01/2025","77.24","76.68","77.24","76.44","986.77K","0.78%"
"06/30/2025","76.64","77.09","77.68","76.36","5.54M","-0.75%"
"06/29/2025","77.22","76.37","77.55","76.37","3.02M","1.24%"
"06/25/2025","76.27","75.00","76.27","74.55","2.45M","1.33%"
"06/24/2025","75.27","73.18","75.27","73.18","4.40M","4.65%"
"06/23/2025","71.93","72.55","72.80","71.85","1.30M","-0.85%"
"06/22/2025","72.55","70.91","72.64","70.29","1.77M","1.50%"
"06/19/2025","71.47","72.73","72.73","71.47","9.23M","-1.74%"
"06/18/2025","72.74","72.00","72.86","71.26","1.51M","0.26%"
"06/17/2025","72.55","71.91","72.64","71.36","3.09M","0.88%"
"06/16/2025","71.91","70.91","72.73","70.91","4.27M","1.41%"
"06/15/2025","70.91","71.15","71.36","70.03","3.58M","-4.29%"
"06/12/2025","74.09","74.91","75.00","73.86","1.98M","-1.27%"
"06/11/2025","75.05","73.64","75.05","73.64","3.36M","2.04%"
"06/10/2025","73.55","73.65","74.35","73.55","13.38M","-1.21%"
"06/04/2025","74.45","73.55","74.45","73.19","2.47M","1.10%"
"06/03/2025","73.64","73.05","73.75","73.05","2.03M","0.80%"
"06/02/2025","73.05","73.27","73.43","72.92","2.97M","-0.36%"
"06/01/2025","73.32","74.27","74.45","73.18","3.88M","-2.66%"
"05/29/2025","75.32","74.00","75.32","73.73","8.60M","1.78%"
"05/28/2025","74.00","73.85","74.18","73.50","1.32M","0.18%"
"05/27/2025","73.86","72.64","73.86","72.57","826.62K","1.69%"
"05/26/2025","72.64","72.74","73.07","72.64","1.51M","0.00%"
"05/25/2025","72.64","72.64","73.00","72.64","1.87M","0.00%"
"05/22/2025","72.64","72.83","73.18","72.57","1.18M","-0.26%"
"05/21/2025","72.83","73.54","73.54","72.46","2.14M","0.43%"
"05/20/2025","72.52","72.09","73.17","72.09","4.52M","0.59%"
"05/19/2025","72.09","73.35","73.64","72.01","2.99M","-1.71%"
"05/18/2025","73.35","73.82","74.08","72.91","1.14M","-0.64%"
"05/15/2025","73.82","73.99","74.10","73.41","3.40M","-0.23%"
"05/14/2025","73.99","72.74","73.99","72.73","2.50M","1.74%"
"05/13/2025","72.73","72.29","73.27","72.29","2.63M","0.69%"
"05/12/2025","72.23","72.00","73.64","72.00","5.30M","1.08%"
"05/11/2025","71.45","72.74","73.18","71.45","1.94M","-1.57%"
"05/08/2025","72.59","72.75","73.64","72.55","892.63K","-0.19%"
"05/07/2025","72.73","74.36","74.73","72.73","1.90M","-2.31%"
"05/06/2025","74.45","73.49","74.76","73.00","2.55M","1.26%"
"05/05/2025","73.52","73.41","74.08","73.27","2.71M","0.21%"
"05/04/2025","73.36","73.61","73.86","73.18","861.47K","-0.33%"
"04/30/2025","73.61","72.73","73.61","72.55","2.09M","1.26%"
"04/29/2025","72.69","72.78","73.46","72.69","865.51K","-0.67%"
"04/28/2025","73.18","72.65","73.27","72.41","5.35M","0.73%"
"04/27/2025","72.65","72.23","72.90","72.18","1.78M","0.54%"
"04/23/2025","72.26","70.24","72.26","70.06","2.84M","2.89%"
"04/22/2025","70.24","70.81","70.86","69.83","1.24M","-0.57%"
"04/17/2025","70.64","70.18","70.84","70.00","2.29M","0.91%"
"04/16/2025","70.00","69.78","70.25","69.31","1.23M","0.26%"
"04/15/2025","69.82","70.27","70.62","69.82","2.04M","-0.52%"
"04/14/2025","70.18","71.37","71.82","70.18","1.01M","-1.66%"
"04/13/2025","71.36","71.63","71.64","70.64","785.93K","-0.62%"
"04/10/2025","71.81","69.94","71.81","69.11","2.01M","3.93%"
